display_name,system_name,Description,value_data_type
Voltage Rating,VoltageRating_Electrical_Conduits,Voltage Rating,numeric
Voltage Rating,VoltageRating_Electrical_Tape,Voltage Rating,numeric
Voltage Rating,VoltageRating_GFCI_Outlets,Voltage Rating,numeric
Voltage Rating,VoltageRating_Junction_Boxes,Voltage Rating,numeric
Voltage Rating,VoltageRating_Light_Switches,Voltage Rating,numeric
Voltage Rating,VoltageRating_Motion_Sensor_Switches,Voltage Rating,numeric
Voltage Rating,VoltageRating_Power_Outlets,Voltage Rating,numeric
Voltage Rating,VoltageRating_Smart_Switches,Voltage Rating,numeric
Voltage Rating,VoltageRating_USB_Outlets,Voltage Rating,numeric
Voltage Rating,VoltageRating_Weatherproof_Outlets,Voltage Rating,numeric
Voltage Rating,VoltageRating_Wire_Connectors,Voltage Rating,numeric
Waterproof Rating,WaterproofRating_Junction_Boxes,Waterproof Rating,text
Waterproof Rating,WaterproofRating_LED_Light_Bars,Waterproof Rating,text
Waterproof Rating,WaterproofRating_LED_Panel_Lights,Waterproof Rating,text
Waterproof Rating,WaterproofRating_LED_Strip_Lights,Waterproof Rating,text
Waterproof Rating,WaterproofRating_RGB_LED_Strips,Waterproof Rating,text
Waterproof Rating,WaterproofRating_Waterproof_LED_Strips,Waterproof Rating,text
Wattage,Wattage_Arc_Lamps,Wattage,numeric
Wattage,Wattage_Bedside_Lamps,Wattage,numeric
Wattage,Wattage_Buffet_Lamps,Wattage,numeric
Wattage,Wattage_Cabinet_Spotlights,Wattage,numeric
Wattage,Wattage_Ceiling_Lights,Wattage,numeric
Wattage,Wattage_Chandeliers,Wattage,numeric
Wattage,Wattage_Deck_Lights,Wattage,numeric
Wattage,Wattage_Desk_Lamps,Wattage,numeric
Wattage,Wattage_Flexible_Track_Lighting,Wattage,numeric
Wattage,Wattage_Floodlights,Wattage,numeric
Wattage,Wattage_Floor_Lamps,Wattage,numeric
Wattage,Wattage_Flush_Mount_Lights,Wattage,numeric
Wattage,Wattage_Landscape_Lighting,Wattage,numeric
Wattage,Wattage_LED_Light_Bars,Wattage,numeric
Wattage,Wattage_LED_Panel_Lights,Wattage,numeric
Wattage,Wattage_LED_Puck_Lights,Wattage,numeric
Wattage,Wattage_LED_Strip_Lights,Wattage,numeric
Wattage,Wattage_Linear_Track_Lighting,Wattage,numeric
